iter	Passed	Remaining
640	1258	4630
641	1259	4627
642	1262	4627
643	1265	4630
644	1269	4634
645	1271	4633
646	1273	4632
647	1275	4630
648	1278	4629
649	1282	4635
650	1283	4631
651	1285	4628
652	1286	4624
653	1288	4621
654	1289	4617
655	1291	4614
656	1293	4611
657	1294	4608
658	1297	4610
659	1299	4606
660	1300	4602
661	1302	4599
662	1303	4595
663	1305	4591
664	1306	4589
665	1310	4590
666	1311	4588
667	1313	4584
668	1314	4580
669	1316	4577
670	1317	4573
671	1319	4570
672	1320	4566
673	1322	4563
674	1324	4562
675	1326	4559
676	1327	4556
677	1329	4553
678	1331	4552
679	1333	4549
680	1335	4547
681	1338	4548
682	1339	4545
683	1341	4542
684	1342	4538
685	1344	4535
686	1346	4532
687	1348	4530
688	1350	4529
689	1352	4526
690	1353	4523
691	1355	4520
692	1356	4517
693	1358	4514
694	1360	4511
695	1361	4508
696	1363	4506
697	1366	4505
698	1367	4503
699	1369	4500
700	1371	4498
701	1372	4494
702	1374	4491
703	1376	4488
704	1377	4485
705	1381	4487
706	1382	4484
707	1384	4482
708	1386	4480
709	1388	4477
710	1390	4476
711	1393	4476
712	1395	4475
713	1397	4473
714	1399	4471
715	1400	4468
716	1402	4466
717	1404	4463
718	1407	4464
719	1408	4461
720	1410	4458
721	1412	4455
722	1415	4456
723	1417	4455
724	1418	4452
725	1420	4449
726	1422	4447
727	1424	4446
728	1426	4444
729	1428	4442
730	1430	4439
731	1432	4438
732	1435	4438
733	1436	4435
734	1438	4432
735	1439	4429
736	1441	4427
737	1443	4424
738	1445	4421
739	1446	4419
740	1448	4416
741	1451	4417
742	1453	4416
743	1455	4414
744	1457	4412
745	1459	4411
746	1461	4407
747	1463	4405
748	1465	4403
749	1466	4400
750	1468	4398
751	1470	4395
752	1471	4392
753	1473	4389
754	1475	4386
755	1476	4383
756	1478	4382
757	1480	4380
758	1482	4378
759	1484	4375
760	1486	4372
761	1488	4370
762	1491	4371
763	1492	4369
764	1494	4366
765	1496	4365
766	1498	4363
767	1501	4363
768	1503	4361
769	1506	4362
770	1507	4359
771	1509	4356
772	1511	4354
773	1513	4353
774	1515	4351
775	1517	4348
776	1519	4346
777	1521	4344
778	1523	4342
779	1525	4341
780	1527	4338
781	1528	4335
782	1530	4333
783	1532	4330
784	1533	4327
785	1535	4325
786	1537	4324
787	1539	4321
788	1541	4318
789	1542	4315
790	1544	4312
791	1546	4311
792	1548	4308
793	1550	4307
794	1552	4305
795	1555	4305
796	1557	4305
797	1559	4304
798	1561	4301
799	1563	4300
800	1565	4297
801	1567	4295
802	1568	4292
803	1570	4290
804	1572	4287
805	1577	4294
